Timestamp,Food ID,Rate the taste (1 = low),Rate the texture (1 = low),Code Name (optional personal identifier),Comments (optional)
4/23/2017 11:20:33,G,1,3,,
4/23/2017 11:20:45,T,4,3,🎁,A little too salty and crunchy
4/23/2017 11:20:54,Q,2,3,,
4/23/2017 11:21:14,M,2,3,👌,
4/23/2017 11:21:48,G,4,5,R,
4/23/2017 11:22:08,N,2,5,👌,
4/23/2017 11:22:13,F,4,3,,
4/23/2017 11:23:19,H,2,3,R,
4/23/2017 11:23:22,O,2,2,👌,
4/23/2017 11:24:05,I,2,3,R,
4/23/2017 11:24:39,Q,2,3,👌,
4/23/2017 11:24:45,L,4,3,,
4/23/2017 11:25:06,J,3,3,R,
4/23/2017 11:25:27,E,1,2,,
4/23/2017 11:25:41,P,2,4,👌,
4/23/2017 11:26:01,K,5,5,,
4/23/2017 11:26:52,T,2,3,👌,
4/23/2017 11:28:17,S,2,3,👌,
4/23/2017 11:28:52,D,2,2,,
4/23/2017 11:29:06,R,2,3,👌,
4/23/2017 11:31:14,C,2,3,,
4/23/2017 11:32:40,B,4,3,,
4/23/2017 11:33:43,A,3,3,,
4/23/2017 11:34:47,H,4,3,,
4/23/2017 11:40:10,A,4,3,*,
4/23/2017 11:40:22,B,4,3,*,
4/23/2017 11:40:40,C,4,2,*,
4/23/2017 11:41:11,D,2,1,*,
4/23/2017 11:41:27,E,2,3,*,
4/23/2017 11:41:40,F,2,3,*,
4/23/2017 11:42:06,G,2,3,*,
4/23/2017 11:42:17,H,2,3,*,
4/23/2017 11:42:34,I,4,3,*,
4/23/2017 11:43:04,J,3,3,*,
4/23/2017 11:43:20,K,3,3,*,
4/23/2017 11:43:35,L,5,3,*,
4/23/2017 11:43:57,M,3,3,*,
4/23/2017 11:44:09,N,3,3,*,
4/23/2017 11:44:20,O,1,1,*,
4/23/2017 11:44:58,P,4,3,*,
4/23/2017 11:45:09,Q,1,3,*,
4/23/2017 11:45:39,R,3,2,*,
4/23/2017 11:45:57,S,5,3,*,
4/23/2017 11:46:09,T,4,3,*,
